Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.624,0,100,0,14.4,0,-6.54506,0.0387212,0.0128872,1.89654,0.280229,-0.366432,-6.59183
0.627,0,100,0,16.2,0,-6.59183,-0.00182813,-0.0205004,1.79203,-0.0103806,-0.0238413,-6.16233
0.63,0,100,0,18,0,-6.16233,-0.0320528,0.171093,1.75301,-0.140017,-0.0827393,-5.94375
0.633,0,100,0,19.8,0,-5.94375,-0.13003,-0.0233028,1.7382,0.0882235,-0.474531,-6.35871
0.636,0,100,0,21.6,0,-6.35871,0.160785,-0.0272201,1.75901,0.430978,-0.192594,-5.47971
0.639,0,100,0,23.4,0,-5.47971,0.00566817,-0.0049512,1.62564,0.326773,-0.182883,-5.00915
0.642,0,100,0,25.2,0,-5.00915,-0.00759168,0.0506266,1.65739,-0.296232,-0.00545121,-5.27273
0.645,0,100,0,27,0,-5.27273,0.153895,-0.0969037,1.57544,-0.070838,-0.0757898,-5.67887
0.648,0,100,0,28.8,0,-5.67887,-0.0365393,-0.0139895,1.55229,-0.121587,-0.401404,-4.65482
0.651,0,100,0,30.6,0,-4.65482,0.0969532,-0.0684499,1.4075,0.299454,-1.13601,-4.84992
0.654,0,100,0,32.4,0,-4.84992,0.0367736,-0.0259786,1.4718,-0.0052997,-0.188514,-4.86416
0.657,0,100,0,34.2,0,-4.86416,0.141481,-0.0275314,1.25412,0.6744,-0.198569,-4.61168
0.66,0,100,0,36,0,-4.61168,0.087781,-0.216934,1.14835,0.316115,-0.71512,-4.20805
0.663,0,100,0,37.8,0,-4.20805,-0.171168,-0.04093,0.931787,-0.15078,-0.402788,-3.85133
0.666,0,100,0,39.6,0,-3.85133,0.0459355,-0.000707839,0.84652,-0.0274156,0.0304405,-3.86449
0.669,0,100,0,41.4,0,-3.86449,0.104896,0.00601656,0.858729,0.132007,0.112609,-3.86347
0.672,0,100,0,43.2,0,-3.86347,0.0128082,-0.0172562,0.717333,-0.0120282,-0.306607,-3.18493
0.675,0,100,0,45,0,-3.18493,-0.0260668,0.00375556,0.683616,-0.00303198,-0.0803713,-3.29517
0.678,0,100,0,46.8,0,-3.29517,0.126583,0.163784,0.579686,-0.19068,0.329641,-3.61712
0.681,0,100,0,48.6,0,-3.61712,0.0868796,-0.0500165,0.814188,0.00582761,0.0860416,-3.95758
0.684,0,100,0,50.4,0,-3.95758,0.18704,-0.0695823,0.653867,0.324296,0.332557,-3.5792
0.687,0,100,0,52.2,0,-3.5792,-0.063108,-0.103902,0.765299,-0.106075,-0.223182,-3.87374
0.69,0,100,0,54,0,-3.87374,-0.0285061,-0.131488,0.670341,-0.257734,-0.068628,-3.69133
0.693,0,100,0,55.8,0,-3.69133,-0.00305485,-0.0821931,0.634612,-0.00794109,-0.369894,-3.81033
0.696,0,100,0,57.6,0,-3.81033,0.150105,-0.0678597,0.526455,-0.255402,-0.023025,-3.80889
