Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.588,0,100,0,352.8,0,-17.3116,0.00184812,-0.00648984,2.7272,0.304925,-0.0831958,-16.0204
0.591,0,100,0,354.6,0,-16.0204,0.0547082,-0.00725651,3.51098,0.332145,0.342971,-18.0001
0.594,0,100,0,356.4,0,-18.0001,0.014562,0.0667447,4.87242,-0.177267,0.470857,-18.1891
0.597,0,100,0,358.2,0,-18.1891,0.000505319,0.0106655,3.6721,-0.287084,0.478243,-17.9525
0.6,0,100,0,2.66454e-13,0,-17.9525,0.0562487,0.0745783,-8.03727,0.00152589,0.348493,-11.9964
0.603,0,100,0,1.8,0,-11.9964,0.0378498,0.021249,2.21052,0.151982,0.226089,-13.2211
0.606,0,100,0,3.6,0,-13.2211,-0.0617902,0.103528,3.8774,0.0129115,0.0550999,-13.9813
0.609,0,100,0,5.4,0,-13.9813,-0.000156694,-0.0794849,3.56029,0.0389634,-0.168844,-13.9994
0.612,0,100,0,7.20001,0,-13.9994,0.0627272,0.0174159,3.79936,-0.438181,0.326029,-13.9039
0.615,0,100,0,9.00001,0,-13.9039,0.0481135,-0.035284,2.82739,-0.0704464,-0.152511,-11.9407
0.618,0,100,0,10.8,0,-11.9407,0.080161,-0.0996567,2.77513,0.298098,-0.111916,-11.8533
0.621,0,100,0,12.6,0,-11.8533,-0.039919,-0.0170572,2.6639,-0.317765,-0.117656,-11.848
0.624,0,100,0,14.4,0,-11.848,0.00754015,0.00277293,2.44148,-0.0171126,0.070076,-10.5588
0.627,0,100,0,16.2,0,-10.5588,-0.0506665,-0.0664797,2.50453,0.0121259,0.0563701,-11.5956
0.63,0,100,0,18,0,-11.5956,-0.0199221,-0.00860854,2.14392,0.0273881,0.235209,-10.3973
