Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
290,97,0.291,0.0564425,0.0748629,-0.583392,-0.0616735,0,0,0,0
291,97,0.291,0.0565387,0.0746559,-0.595244,-0.0650715,0,0,0,0
292,98,0.294,0.0549792,0.0736247,-0.559681,-0.0616844,0,0,0,0
293,98,0.294,0.0554637,0.0731392,-0.571776,-0.0646639,0,0,0,0
294,98,0.294,0.0558301,0.0727044,-0.580032,-0.0689969,0,0,0,0
295,99,0.297,0.0585246,0.0703894,-0.536208,-0.0730443,0,0,0,0
296,99,0.297,0.0592391,0.069417,-0.541234,-0.0796189,0,0,0,0
297,99,0.297,0.0597851,0.0686567,-0.544179,-0.0852653,0,0,0,0
298,100,0.3,0.0622456,0.0692644,-0.256575,-0.0795815,0,0,0,0
299,100,0.3,0.0621626,0.0689815,-0.251329,-0.0771104,0,0,0,0
300,100,0.3,0.0620812,0.0687724,-0.24966,-0.076092,0,0,0,0
301,101,0.303,0.0623447,0.0679532,-0.25295,-0.0891459,0,0,0,0
302,101,0.303,0.0621307,0.0677356,-0.262806,-0.0988509,0,0,0,0
303,101,0.303,0.0619194,0.0675721,-0.270031,-0.105913,0,0,0,0
304,102,0.306,0.0613919,0.0673164,-0.26492,-0.086779,0,0,0,0
305,102,0.306,0.0612777,0.0672514,-0.274611,-0.0813489,0,0,0,0
306,102,0.306,0.0611095,0.0671564,-0.282147,-0.0814782,0,0,0,0
307,103,0.309,0.0601526,0.068637,-0.283096,-0.0727534,0,0,0,0
308,103,0.309,0.0601208,0.0687276,-0.294532,-0.0723533,0,0,0,0
309,103,0.309,0.0600729,0.0687487,-0.303535,-0.0750242,0,0,0,0
310,104,0.312,0.0581234,0.069479,-0.309873,-0.0678388,0,0,0,0
311,104,0.312,0.0578152,0.068909,-0.321662,-0.0681979,0,0,0,0
312,104,0.312,0.0575763,0.0684924,-0.330676,-0.0713903,0,0,0,0
313,105,0.315,0.0592186,0.0702981,-0.337323,-0.0645015,0,0,0,0
314,105,0.315,0.0592736,0.0704402,-0.348663,-0.0652133,0,0,0,0
315,105,0.315,0.0592704,0.070503,-0.357407,-0.0688028,0,0,0,0
316,106,0.318,0.0600662,0.0705806,-0.36746,-0.0595644,0,0,0,0
317,106,0.318,0.0600778,0.0706661,-0.380136,-0.0595713,0,0,0,0
318,106,0.318,0.0601124,0.0706911,-0.389622,-0.0631802,0,0,0,0
319,107,0.321,0.0598327,0.0710487,-0.40022,-0.0581404,0,0,0,0
320,107,0.321,0.0601364,0.0708579,-0.412552,-0.0602001,0,0,0,0
321,107,0.321,0.0603823,0.0706575,-0.421718,-0.0648658,0,0,0,0
322,108,0.324,0.0602078,0.0719293,-0.43267,-0.0535468,0,0,0,0
323,108,0.324,0.0603187,0.0721463,-0.4456,-0.0524072,0,0,0,0
324,108,0.324,0.0603819,0.0722743,-0.455153,-0.0555609,0,0,0,0
325,109,0.327,0.0613614,0.072115,-0.464238,-0.0486452,0,0,0,0
326,109,0.327,0.0617852,0.0717074,-0.475354,-0.0499794,0,0,0,0
327,109,0.327,0.0621069,0.0713457,-0.483626,-0.0544476,0,0,0,0
328,110,0.33,0.0625648,0.0710975,-0.491137,-0.0459129,0,0,0,0
329,110,0.33,0.0630019,0.0708787,-0.501711,-0.046718,0,0,0,0
330,110,0.33,0.0633939,0.0706673,-0.509633,-0.0511056,0,0,0,0
331,111,0.333,0.0622702,0.0713117,-0.516582,-0.048778,0,0,0,0
332,111,0.333,0.0625462,0.0712466,-0.526958,-0.0520717,0,0,0,0
333,111,0.333,0.0628052,0.0711432,-0.534597,-0.0573367,0,0,0,0
334,112,0.336,0.0637344,0.0713432,-0.53645,-0.0527299,0,0,0,0
