Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.576,0,100,0,345.6,0,-38.0901,0.0726198,-0.0598156,2.31376,-0.746983,-1.61263,-41.2863
0.579,0,100,0,347.4,0,-41.2863,0.0163593,-0.0827604,2.41267,-0.0260423,0.146434,-42.129
0.582,0,100,0,349.2,0,-42.129,0.0638819,0.013575,3.15314,-0.76007,0.289709,-44.3846
0.585,0,100,0,351,0,-44.3846,0.153959,0.14012,3.38365,-0.864364,0.674224,-49.9485
0.588,0,100,0,352.8,0,-49.9485,-0.0148754,0.0655787,2.82666,-0.956019,-0.0312807,-48.0893
0.591,0,100,0,354.6,0,-48.0893,0.043536,-0.093044,5.78667,-0.375556,-0.133287,-52.6082
0.594,0,100,0,356.4,0,-52.6082,-0.0756645,0.124018,4.06516,-0.433798,0.266698,-51.1197
0.597,0,100,0,358.2,0,-51.1197,0.0790023,0.159257,5.22379,-0.131432,1.66986,-56.4648
0.6,0,100,0,2.66454e-13,0,-56.4648,0.533228,0.450126,17.7474,1.39317,2.58051,-75.1359
0.603,0,100,0,1.8,0,-75.1359,-0.25023,-0.152276,3.06779,-0.769282,-1.45787,-39.3446
0.606,0,100,0,3.6,0,-39.3446,0.166217,0.00158795,3.61163,0.299908,0.690385,-37.5462
0.609,0,100,0,5.4,0,-37.5462,0.237323,-0.109257,3.75112,0.825513,0.832072,-35.6071
0.612,0,100,0,7.20001,0,-35.6071,0.100522,-0.00457842,2.18161,-0.135634,0.780283,-34.6741
0.615,0,100,0,9.00001,0,-34.6741,-0.136684,-0.172515,1.55205,-0.724631,-1.16683,-36.3053
0.618,0,100,0,10.8,0,-36.3053,-0.0301218,-0.305183,1.70619,1.05852,-1.03064,-36.4827
0.621,0,100,0,12.6,0,-36.4827,-0.156383,-0.198163,1.92334,0.628655,-2.00291,-40.4475
0.624,0,100,0,14.4,0,-40.4475,0.0574419,0.102184,2.9289,-0.365656,-0.815156,-43.2555
0.627,0,100,0,16.2,0,-43.2555,0.126963,-0.0198721,3.4516,-1.35269,0.377517,-46.9737
0.63,0,100,0,18,0,-46.9737,0.361101,0.116023,2.62198,0.175024,2.1499,-48.4272
0.633,0,100,0,19.8,0,-48.4272,0.0298686,-0.124555,4.17394,0.550502,-0.940612,-48.9181
0.636,0,100,0,21.6,0,-48.9181,-0.0833092,0.0197294,4.58903,-0.0715576,1.09545,-50.4518
