Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
310,104,0.312,0.296514,0.0171313,-2.47586,-0.034719,0,0,0,0
311,104,0.312,0.29883,0.0195994,-2.48709,-0.0319128,0,0,0,0
312,104,0.312,0.300544,0.0216723,-2.49591,-0.0307658,0,0,0,0
313,105,0.315,0.301986,0.0244947,-2.5077,-0.0192137,0,0,0,0
314,105,0.315,0.302601,0.0270552,-2.518,-0.0139711,0,0,0,0
315,105,0.315,0.303099,0.0292436,-2.52612,-0.011582,0,0,0,0
316,106,0.318,0.303315,0.032875,-2.53947,-0.0203333,0,0,0,0
317,106,0.318,0.303865,0.0356166,-2.55166,-0.0249587,0,0,0,0
318,106,0.318,0.304386,0.0379359,-2.56115,-0.0274945,0,0,0,0
319,107,0.321,0.306202,0.0407793,-2.57376,-0.0305316,0,0,0,0
320,107,0.321,0.307215,0.0430727,-2.58525,-0.0322356,0,0,0,0
321,107,0.321,0.307977,0.0450202,-2.5943,-0.0332983,0,0,0,0
322,108,0.324,0.307811,0.0455532,-2.60433,-0.0372662,0,0,0,0
323,108,0.324,0.307652,0.0473846,-2.61478,-0.0391923,0,0,0,0
324,108,0.324,0.307495,0.0490666,-2.62322,-0.0402579,0,0,0,0
325,109,0.327,0.309109,0.0489542,-2.6314,-0.0286797,0,0,0,0
326,109,0.327,0.309943,0.0497494,-2.641,-0.0226764,0,0,0,0
327,109,0.327,0.310435,0.0506342,-2.64885,-0.0198592,0,0,0,0
328,110,0.33,0.310348,0.0590318,-2.65638,-0.0140231,0,0,0,0
329,110,0.33,0.309856,0.0644398,-2.66493,-0.0113868,0,0,0,0
330,110,0.33,0.309587,0.0686989,-2.67211,-0.010283,0,0,0,0
331,111,0.333,0.308171,0.0734591,-2.67939,-0.0164092,0,0,0,0
332,111,0.333,0.307699,0.0771907,-2.68882,-0.0195218,0,0,0,0
333,111,0.333,0.307371,0.0802795,-2.69665,-0.0212349,0,0,0,0
334,112,0.336,0.309319,0.0825536,-2.70152,-0.0195103,0,0,0,0
335,112,0.336,0.309856,0.0846939,-2.70898,-0.0186063,0,0,0,0
336,112,0.336,0.310157,0.0866076,-2.7155,-0.0182674,0,0,0,0
337,113,0.339,0.30893,0.0916392,-2.72112,-0.0171664,0,0,0,0
338,113,0.339,0.308251,0.0963747,-2.72906,-0.016497,0,0,0,0
339,113,0.339,0.307677,0.100208,-2.73595,-0.0162842,0,0,0,0
340,114,0.342,0.306699,0.103484,-2.73952,-0.0113915,0,0,0,0
341,114,0.342,0.306137,0.105086,-2.74616,-0.00877466,0,0,0,0
342,114,0.342,0.305559,0.106521,-2.75214,-0.00755142,0,0,0,0
343,115,0.345,0.305868,0.111858,-2.75236,-0.0110706,0,0,0,0
344,115,0.345,0.305422,0.116258,-2.75751,-0.0125853,0,0,0,0
